Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2024,aston martin,ASX,Aston Martin,DB12 V8,5723PT5601,0,4.000,RASXV04.0AES,Car,680,8,177850,A,Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,3.08,24.8,1,Not eqipped,RASX10082337,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0256,0.536,484.329,0.008,,0.0089,0.0039,18.3000000,MPG,17.8185,17.0058,21.6199,,-0.1,-0.2,-0.35,53.240,0.22280,0.022100,5.670,0.00830,0.022100,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DB12 V8,5723PT5601,0,4.000,RASXV04.0AES,Car,680,8,177850,A,Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,3.08,24.8,1,Not eqipped,RASX10082338,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0007,0.04,283.235,0.007,,,,31.3000000,MPG,,,,,8.72,7.09,-0.42,53.240,0.22280,0.022100,5.670,0.00830,0.022100,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,4.000,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.06,21.0,1,Not eqipped,MASX10071301,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0146,0.12,521.26,0.009,,0.0028,,17.2000000,MPG,15.9395,16.3355,19.323,,-3.1,-2.44,-2.11,60.680,-0.32860,0.037300,-4.880,-0.53180,0.036700,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,4.000,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.06,21.0,1,Not eqipped,MASX10071328,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0,327.54,0.002,,,,27.4000000,MPG,,,,,-5.24,-4.37,-0.88,60.680,-0.32860,0.037300,-4.880,-0.53180,0.036700,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DBX 707,8841PT8473,0,4.000,PASXJ04.0AEX,Both,707,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.27,22.0,1,Not eqipped,PASX10073957,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0156,0.15,486.75,0.011,0.0004,0.004,,18.5000000,MPG,17.7311,17.8284,20.4728,,-0.84,-1,-0.38,60.680,-0.32860,0.037300,-4.880,-0.53180,0.036700,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,DBX 707,8841PT8473,0,4.000,PASXJ04.0AEX,Both,707,8,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,3.27,22.0,1,Not eqipped,PASX10073958,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.02,331.48,0.003,,,,27.2000000,MPG,,,,,-5.03,-4.16,-1.21,60.680,-0.32860,0.037300,-4.880,-0.53180,0.036700,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,Valour,6901PT6826,0,5.200,RASXV05.2AM5,Car,715,12,AM31A/,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.54,32.4,1,Not eqipped,RASX10082977,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0461,0.55,586.89,0.028,,0.0093,0.0012,15.2000000,MPG,14.4622,13.8381,17.6982,,-3.69,-2.57,-1.08,47.680,0.53690,0.019700,30.690,0.12300,0.021800,TWC,Three-way catalyst,N,,,N,No averaging
2024,aston martin,ASX,Aston Martin,Valour,6901PT6826,0,5.200,RASXV05.2AM5,Car,715,12,AM31A/,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.54,32.4,1,Not eqipped,RASX10082978,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0003,0.07,362.37,0.002,,,,24.7000000,MPG,,,,,-1.3,-0.72,-0.49,47.680,0.53690,0.019700,30.690,0.12300,0.021800,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i Gran Coupe,7F72606,0,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066519,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.006645,0.2468089,278.7595253,0.0024674,,0.0012075,0.0000974,31.5000000,MPG,30.1827419,31.3991673,32.6334241,,1.8777509,1.2294827,-0.5189583,36.300,0.04300,0.018230,18.100,0.00900,0.018230,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,228i Gran Coupe,7F72606,0,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066520,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.000649,0.0029978,175.4953204,0.0023005,,0,,50.2000000,MPG,,,,,4.9086058,3.6863503,-0.7241056,36.300,0.04300,0.018230,18.100,0.00900,0.018230,TWC,Three-way catalyst,N,,,N,No averaging
